,,,,,,,,,,,a,b
1,1,1,1,1,1,1,1,1,1,,1,1
1,1,1,1,1,1,1,1,1,1,,1,2
1,1,1,1,1,1,1,1,1,1,,1,3
1,1,1,1,1,0,1,1,1,1,,0.9,4
1,1,1,1,1,0,1,1,1,1,,0.9,5
1,1,1,1,1,1,1,1,1,1,,1,6
1,1,1,1,1,1,1,1,1,1,,1,7
1,1,1,1,1,1,1,1,1,1,,1,8
1,1,1,1,1,1,1,1,1,1,,1,9
1,1,1,1,1,1,1,1,1,1,,1,10
1,1,1,1,1,1,1,1,1,1,,1,11
1,1,1,1,1,1,1,1,1,1,,1,12
1,0,1,1,1,1,1,1,1,1,,0.9,13
1,0,1,1,1,1,1,1,1,1,,0.9,14
1,1,1,1,1,1,1,1,1,1,,1,15
1,1,1,1,1,1,1,1,1,1,,1,16
0,1,1,1,1,1,1,1,1,1,,0.9,17
0,1,1,0,1,1,1,1,1,1,,0.8,18
1,1,0,0,1,1,1,1,1,1,,0.8,19
1,1,0,1,1,1,1,1,1,1,,0.9,20
1,1,1,1,1,1,1,1,1,1,,1,21
1,1,1,1,0,1,0,1,1,1,,0.8,22
1,1,1,1,0,1,0,1,1,1,,0.8,23
1,0,1,1,1,1,1,1,1,1,,0.9,24
1,0,1,1,1,1,1,1,0,0,,0.7,25
1,1,1,1,1,1,1,1,0,0,,0.8,26
1,1,1,1,1,0,1,1,1,1,,0.9,27
1,1,1,1,1,0,1,1,1,1,,0.9,28
1,1,1,1,1,1,1,1,1,1,,1,29
1,1,1,1,1,1,1,1,1,1,,1,30
1,1,1,1,1,1,1,0,1,1,,0.9,31
1,0,1,0,1,1,1,0,1,1,,0.7,32
1,0,1,0,0,1,1,1,1,1,,0.7,33
1,1,1,0,0,1,1,1,1,1,,0.8,34
1,1,1,0,0,1,1,1,1,1,,0.8,35
1,0,1,0,1,1,1,1,1,1,,0.8,36
1,0,0,1,1,1,0,0,0,0,,0.4,37
1,0,0,1,0,1,0,0,0,0,,0.3,38
1,1,0,1,0,1,0,0,0,0,,0.4,39
1,1,1,1,0,1,0,0,1,0,,0.6,40
1,0,1,0,0,0,0,0,1,0,,0.3,41
0,0,0,0,0,0,0,0,0,0,,0,42
0,0,0,0,0,0,0,0,0,0,,0,43
0,0,0,0,0,0,0,0,0,0,,0,44
0,0,0,0,0,0,0,0,0,0,,0,45
0,0,0,0,0,0,0,0,0,0,,0,46
0,1,0,0,0,0,0,0,0,0,,0.1,47
0,1,1,0,0,0,0,0,0,0,,0.2,48
0,0,1,0,0,0,0,1,0,0,,0.2,49
0,0,0,0,0,0,0,1,0,0,,0.1,50
0,0,0,0,0,0,0,0,0,0,,0,51
0,0,0,0,0,0,0,0,0,0,,0,52
0,0,0,0,0,0,0,0,0,0,,0,53
0,0,0,0,0,0,0,0,0,0,,0,54
0,0,0,0,0,0,0,0,0,0,,0,55
0,0,0,0,0,0,0,0,0,0,,0,56
0,0,0,0,0,0,0,0,0,0,,0,57
0,0,0,0,0,0,0,0,0,0,,0,58
0,0,0,0,0,0,0,0,0,0,,0,59
0,0,0,0,0,0,0,0,0,0,,0,60
0,0,0,0,0,0,0,0,0,0,,0,61
0,0,0,0,0,0,0,0,0,0,,0,62
0,0,0,0,0,0,0,0,0,0,,0,63
0,0,0,0,0,0,0,0,0,0,,0,64
0,0,0,1,0,0,0,0,0,0,,0.1,65
0,0,0,1,0,0,0,0,0,0,,0.1,66
0,0,0,0,0,0,0,0,0,0,,0,67
0,0,0,0,0,0,0,0,0,0,,0,68
0,0,0,0,0,0,0,0,0,0,,0,69
0,1,0,0,0,0,0,0,0,1,,0.2,70
0,1,0,0,0,0,0,0,0,1,,0.2,71
0,1,0,0,0,0,0,0,0,1,,0.2,72
0,0,0,0,0,0,0,0,0,0,,0,73
0,0,0,0,0,0,0,0,0,0,,0,74
0,0,0,0,0,0,0,0,0,0,,0,75
0,0,0,0,0,0,0,0,0,1,,0.1,76
0,0,0,0,0,0,0,0,0,1,,0.1,77
0,0,0,0,0,0,0,1,0,1,,0.2,78
0,0,0,0,0,0,0,1,0,0,,0.1,79
0,0,0,0,0,0,0,1,0,0,,0.1,80
0,0,0,0,0,0,0,0,0,0,,0,81
0,0,0,0,0,0,0,0,0,0,,0,82
0,0,0,1,1,0,0,0,0,0,,0.2,83
0,0,0,1,1,0,0,0,0,0,,0.2,84
0,0,0,1,0,0,0,0,0,0,,0.1,85
0,0,0,0,0,0,0,0,1,0,,0.1,86
0,0,0,0,0,0,0,1,1,0,,0.2,87
0,0,0,0,0,0,0,1,0,0,,0.1,88
0,0,0,1,0,0,0,0,0,0,,0.1,89
0,0,0,1,0,0,0,0,0,0,,0.1,90
0,0,0,0,0,0,0,0,0,0,,0,91
0,0,0,0,0,0,0,0,0,0,,0,92
0,0,0,0,0,0,0,0,0,0,,0,93
0,0,0,0,0,0,0,0,0,0,,0,94
0,0,0,0,1,0,0,0,0,0,,0.1,95
0,0,0,0,1,0,0,0,0,0,,0.1,96
0,0,0,0,1,0,0,1,0,0,,0.2,97
0,0,0,0,1,0,0,1,0,0,,0.2,98
0,0,0,0,1,0,0,1,0,0,,0.2,99
0,0,0,0,0,0,0,0,0,0,,0,100
